company_name,company_country,company_acquired_on,company_acquired_for,before_date,before_open,before_close,before_volume,after_date,after_open,after_close,after_volume,pct_change_close,pct_change_open,pct_change_volume,acquisition_year,acquisition_month
Touchco,United States,03-02-2010,Undisclosed,02-02-2010,5.94,5.91,461594000,04-02-2010,5.93,5.8,255680000,-1.86,-0.17,-44.61,2010,2
Woot,United States,02-07-2010,"11,00,00,000",01-07-2010,5.45,5.55,170596000,06-07-2010,5.53,5.5,104386000,-0.9,1.47,-38.81,2010,7
Amie Street,United States,08-09-2010,Undisclosed,07-09-2010,6.88,6.86,77660000,09-09-2010,7.02,7.02,99160000,2.33,2.03,27.68,2010,9
BuyVIP,Spain,04-10-2010,"10,00,00,000",01-10-2010,7.85,7.69,173668000,05-10-2010,7.85,8.04,112400000,4.55,0,-35.28,2010,10
Quidsi,United States,08-11-2010,"54,50,00,000",05-11-2010,8.47,8.54,104244000,09-11-2010,8.63,8.51,79572000,-0.35,1.89,-23.67,2010,11
Toby Press,United States,18-11-2010,Undisclosed,17-11-2010,7.89,7.92,90498000,19-11-2010,8.2,8.24,89296000,4.04,3.93,-1.33,2010,11
LoveFilm,United Kingdom,20-01-2011,"31,20,00,000",19-01-2011,9.55,9.34,77648000,21-01-2011,9.15,8.87,136124000,-5.03,-4.19,75.31,2011,1
The Book Depository,United Kingdom,04-07-2011,Undisclosed,01-07-2011,10.28,10.47,80174000,05-07-2011,10.44,10.66,71704000,1.81,1.56,-10.56,2011,7
Pushbutton,United Kingdom,28-07-2011,Undisclosed,27-07-2011,11.22,11.13,259112000,29-07-2011,11.06,11.13,103354000,0,-1.43,-60.11,2011,7
Double Helix Games,United States,05-09-2011,Undisclosed,02-09-2011,10.45,10.5,84640000,06-09-2011,10.24,10.81,124324000,2.95,-2.01,46.89,2011,9
Teachstreet,United States,02-02-2012,Undisclosed,01-02-2012,8.69,8.97,426732000,03-02-2012,9.14,9.38,162410000,4.57,5.18,-61.94,2012,2
Kiva Systems,United States,19-03-2012,"77,50,00,000",16-03-2012,9.16,9.25,98680000,20-03-2012,9.24,9.62,183308000,4,0.87,85.76,2012,3
Evi,United Kingdom,17-04-2012,"2,60,00,000",16-04-2012,9.45,9.27,80886000,18-04-2012,9.44,9.55,80038000,3.02,-0.11,-1.05,2012,4
Avalon Books,United States,17-04-2012,Undisclosed,16-04-2012,9.45,9.27,80886000,18-04-2012,9.44,9.55,80038000,3.02,-0.11,-1.05,2012,4
UpNext,United States,02-07-2012,Undisclosed,29-06-2012,11.23,11.42,72288000,03-07-2012,11.46,11.48,26634000,0.53,2.05,-63.16,2012,7
IVONA Software,Poland,24-01-2013,Undisclosed,23-01-2013,13.53,13.41,50178000,25-01-2013,13.75,14.2,99362000,5.89,1.63,98.02,2013,1
Goodreads,United States,28-03-2013,Undisclosed,27-03-2013,12.94,13.27,57498000,01-04-2013,13.35,13.08,50496000,-1.43,3.17,-12.18,2013,3
Liquavista,Netherlands,13-05-2013,Undisclosed,10-05-2013,13.04,13.18,62906000,14-05-2013,13.23,13.42,54000000,1.82,1.46,-14.16,2013,5
"TenMarks Education, Inc.",United States,10-10-2013,Undisclosed,09-10-2013,15.17,14.91,64948000,11-10-2013,15.24,15.54,43262000,4.23,0.46,-33.39,2013,10
ComiXology,United States,10-04-2014,Undisclosed,09-04-2014,16.42,16.59,101132000,11-04-2014,15.7,15.59,145750000,-6.03,-4.38,44.12,2014,4
Twitch Interactive,United States,25-08-2014,"97,00,00,000",22-08-2014,16.65,16.58,44224000,26-08-2014,16.85,17.09,73094000,3.08,1.2,65.28,2014,8
Rooftop Media,United States,25-08-2014,Undisclosed,22-08-2014,16.65,16.58,44224000,26-08-2014,16.85,17.09,73094000,3.08,1.2,65.28,2014,8
GoodGame,United States,09-12-2014,Undisclosed,08-12-2014,15.58,15.33,72784000,10-12-2014,15.6,15.29,64918000,-0.26,0.13,-10.81,2014,12
Annapurna Labs,Israel,22-01-2015,"35,00,00,000",21-01-2015,14.48,14.86,201302000,23-01-2015,15.4,15.62,89928000,5.11,6.35,-55.33,2015,1
2lemetry,United States,12-03-2015,Undisclosed,11-03-2015,18.53,18.32,49902000,13-03-2015,18.58,18.53,52234000,1.15,0.27,4.67,2015,3
Shoefitr,United States,10-04-2015,Undisclosed,09-04-2015,19.03,19.18,47846000,13-04-2015,19.18,19.12,37890000,-0.31,0.79,-20.81,2015,4
ClusterK,United States,29-04-2015,"3,50,00,000",28-04-2015,21.93,21.47,82810000,30-04-2015,21.36,21.09,72958000,-1.77,-2.6,-11.9,2015,4
AppThwack,United States,14-07-2015,Undisclosed,13-07-2015,22.41,22.78,79136000,15-07-2015,23.15,23.06,59748000,1.23,3.3,-24.5,2015,7
Elemental Technologies,United States,03-09-2015,"50,00,00,000",02-09-2015,25.25,25.53,74142000,04-09-2015,24.88,24.95,53850000,-2.27,-1.47,-27.37,2015,9
Safaba Translation Systems,United States,25-09-2015,Undisclosed,24-09-2015,26.53,26.69,70020000,28-09-2015,26,25.2,108690000,-5.58,-2,55.23,2015,9
Orbeus,United States,01-12-2015,Undisclosed,30-11-2015,33.79,33.24,113864000,02-12-2015,34.05,33.8,85470000,1.68,0.77,-24.94,2015,12
Colis Privé,France,11-01-2016,Undisclosed,08-01-2016,30.98,30.35,110258000,12-01-2016,31.26,30.89,94482000,1.78,0.9,-14.31,2016,1
NICE,Italy,12-02-2016,Undisclosed,11-02-2016,24.56,25.19,147948000,16-02-2016,25.97,26.06,102370000,3.45,5.74,-30.81,2016,2
Emvantage Payments,India,16-02-2016,Undisclosed,12-02-2016,25.53,25.35,107696000,17-02-2016,26.44,26.7,96480000,5.33,3.56,-10.41,2016,2
Cloud9 IDE,United States,14-07-2016,Undisclosed,13-07-2016,37.34,37.13,82846000,15-07-2016,37.33,36.77,62428000,-0.97,-0.03,-24.65,2016,7
"Curse, Inc.",United States,16-08-2016,Undisclosed,15-08-2016,38.6,38.42,42370000,17-08-2016,38.22,38.23,37822000,-0.49,-0.98,-10.73,2016,8
Westland,India,28-10-2016,Undisclosed,27-10-2016,41.56,40.92,148128000,31-10-2016,39.05,39.49,108266000,-3.49,-6.04,-26.91,2016,10
Partpic,United States,02-11-2016,Undisclosed,01-11-2016,39.95,39.27,106108000,03-11-2016,38.25,38.35,77450000,-2.34,-4.26,-27.01,2016,11
harvest.ai,United States,09-01-2017,"2,00,00,000",06-01-2017,39.12,39.8,119724000,10-01-2017,39.83,39.79,51168000,-0.03,1.81,-57.26,2017,1
Thinkbox Software,United States,06-03-2017,Undisclosed,03-03-2017,42.36,42.49,38822000,07-03-2017,42.27,42.3,44952000,-0.45,-0.21,15.79,2017,3
Do.com,United States,08-03-2017,Undisclosed,07-03-2017,42.27,42.3,44952000,09-03-2017,42.55,42.65,40964000,0.83,0.66,-8.87,2017,3
Whole Foods Market,United States,16-06-2017,"13,70,00,00,000",15-06-2017,47.94,48.21,107478000,19-06-2017,50.85,49.76,100868000,3.22,6.07,-6.15,2017,6
Souq.com,United Arab Emirates,03-07-2017,"58,00,00,000",30-06-2017,49.01,48.4,67806000,05-07-2017,48.08,48.57,73060000,0.35,-1.9,7.75,2017,7
Graphiq,United States,20-07-2017,"5,00,00,000",19-07-2017,51.25,51.34,59280000,21-07-2017,51.06,51.28,54692000,-0.12,-0.37,-7.74,2017,7
GameSparks,United Kingdom,28-07-2017,"1,00,00,000",27-07-2017,53.48,52.3,219834000,31-07-2017,50.95,49.39,147042000,-5.56,-4.73,-33.11,2017,7
Wing.ae,United Arab Emirates,06-09-2017,0. subsidiary of souq.com,05-09-2017,48.77,48.26,57664000,07-09-2017,48.7,48.97,51336000,1.47,-0.14,-10.97,2017,9
Body Labs,United States,03-10-2017,"6,00,00,000",02-10-2017,48.2,47.96,48858000,04-10-2017,47.71,48.27,50548000,0.65,-1.02,3.46,2017,10
Goo Technologies,United States,28-11-2017,Undisclosed,27-11-2017,60.13,59.79,134880000,29-11-2017,59.74,58.06,185150000,-2.89,-0.65,37.27,2017,11
Sqrrl,United States,23-01-2018,"4,00,00,000",22-01-2018,64.86,66.37,82802000,24-01-2018,68.74,67.88,136150000,2.28,5.98,64.43,2018,1
Ring,United States,27-02-2018,"83,90,00,000",26-02-2018,75.46,76.1,99100000,28-02-2018,75.98,75.62,90300000,-0.63,0.69,-8.88,2018,2
PillPack,United States,28-06-2018,"75,30,00,000",27-06-2018,85.41,83.03,97444000,29-06-2018,85.85,84.99,90870000,2.36,0.52,-6.75,2018,6
Tapzo,India,28-08-2018,"4,00,00,000",27-08-2018,95.75,96.38,71380000,29-08-2018,97.67,99.9,130636000,3.65,2.01,83.01,2018,8
CloudEndure,Israel,10-01-2019,"25,00,00,000",09-01-2019,82.65,82.97,126976000,11-01-2019,82.03,82.03,93724000,-1.13,-0.75,-26.19,2019,1
TSO Logic,Canada,14-01-2019,Undisclosed,11-01-2019,82.03,82.03,93724000,15-01-2019,81.6,83.73,119970000,2.07,-0.52,28,2019,1
Eero,United States,11-02-2019,"9,70,00,000",08-02-2019,79.3,79.41,113150000,12-02-2019,80.2,81.9,97172000,3.14,1.13,-14.12,2019,2
Canvas Technology,United States,10-04-2019,Undisclosed,09-04-2019,92.27,91.79,74288000,11-04-2019,92.43,92.2,53096000,0.45,0.17,-28.53,2019,4
Sizmek Ad Server and Sizmek Dynamic Creative Optimization,United States,31-05-2019,Undisclosed,30-05-2019,91.27,90.82,62938000,03-06-2019,88,84.63,181974000,-6.82,-3.58,189.13,2019,5
Bebo,United States,18-06-2019,"2,50,00,000",17-06-2019,93.82,94.3,52686000,19-06-2019,95.39,95.44,57906000,1.21,1.67,9.91,2019,6
E8 Storage,Israel,31-07-2019,Undisclosed,30-07-2019,94.56,94.93,58218000,01-08-2019,93.59,92.77,94266000,-2.28,-1.03,61.92,2019,7
IGDB,Sweden,17-09-2019,Undisclosed,16-09-2019,91.2,90.39,73510000,18-09-2019,90.85,90.87,50112000,0.53,-0.38,-31.83,2019,9
INLT,United States,24-09-2019,Undisclosed,23-09-2019,88.85,89.26,58446000,25-09-2019,87.37,88.42,69864000,-0.94,-1.67,19.54,2019,9
Zoox,United States,26-06-2020,"1,20,00,00,000",25-06-2020,136.98,137.73,59374000,29-06-2020,134.5,134.02,84468000,-2.69,-1.81,42.26,2020,6
Wondery,United States,30-12-2020,"30,00,00,000",29-12-2020,165.5,166.1,97458000,31-12-2020,163.75,162.85,59144000,-1.96,-1.06,-39.31,2020,12
Metro-Goldwyn-Mayer,United States,26-05-2021,"8,45,00,00,000",25-05-2021,163.33,162.95,65222000,27-05-2021,162.8,161.51,51224000,-0.88,-0.32,-21.46,2021,5
Art19,United States,24-06-2021,Undisclosed,23-06-2021,175.25,175.19,56266000,25-06-2021,173.2,170.07,78820000,-2.92,-1.17,40.08,2021,6
Wickr,United States,25-06-2021,Undisclosed,24-06-2021,175.38,172.45,76640000,28-06-2021,170.8,172.19,44856000,-0.15,-2.61,-41.47,2021,6
Veeqo,United Kingdom,01-11-2021,Undisclosed,29-10-2021,165,168.62,129722000,02-11-2021,165.75,165.64,52552000,-1.77,0.45,-59.49,2021,11
Strio.AI,United States,07-03-2022,Undisclosed,04-03-2022,147.16,145.64,60934000,08-03-2022,136.68,136.01,91662000,-6.61,-7.12,50.43,2022,3
GlowRoad,India,21-04-2022,Undisclosed,20-04-2022,157.6,154,59630000,22-04-2022,148.25,144.35,73078000,-6.27,-5.93,22.55,2022,4
One Medical,United States,21-07-2022,"3,90,00,00,000",20-07-2022,118.62,122.77,71268300,22-07-2022,125.01,122.42,51463800,-0.29,5.39,-27.79,2022,7
iRobot,United States,05-08-2022,"1,42,00,00,000",04-08-2022,140.58,142.57,70585000,08-08-2022,142.05,139.41,52229000,-2.22,1.05,-26.01,2022,8
Cloostermans,Belgium,09-09-2022,Undisclosed,08-09-2022,127.72,129.82,43988500,12-09-2022,134.1,136.45,53826900,5.11,5,22.37,2022,9
Spirit.ai,United Kingdom,22-11-2022,Undisclosed,21-11-2022,93.97,92.46,84330300,23-11-2022,93.24,94.13,59414700,1.81,-0.78,-29.55,2022,11
